,attempted_passes,boxscore_index,completed_passes,completion_percentage,fumbles,fumbles_lost,fumbles_lost_per_attempt,fumbles_per_attempt,interceptions_per_attempt,interceptions_per_completion,interceptions_thrown,longest_pass,longest_rush,passing_TDs_per_attempt,passing_TDs_per_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,passing_yards_per_completion,quarterback_rating,rush_attempts,rush_touchdowns,rush_yards,times_sacked,times_sacked_per_attempt,yards_lost_from_sacks
BradTo00,23,200109300nwe,13,56.52173913043478,0,0,0.0,0.0,0.0,0.0,0,38,2,0.0,0.0,0,168,7.304347826086956,12.923076923076923,79.6,1,0,2,1,0.043478260869565216,9
BradTo00,24,200110070mia,12,50.0,0,0,0.0,0.0,0.0,0.0,0,15,9,0.0,0.0,0,86,3.5833333333333335,7.166666666666667,58.7,2,0,9,4,0.16666666666666666,17
BradTo00,54,200110140nwe,33,61.111111111111114,0,0,0.0,0.0,0.0,0.0,0,26,0,0.037037037037037035,0.06060606060606061,2,364,6.7407407407407405,11.030303030303031,93.4,1,0,0,3,0.05555555555555555,19
BradTo00,20,200110210clt,16,80.0,0,0,0.0,0.0,0.0,0.0,0,91,-1,0.15,0.1875,3,202,10.1,12.625,148.3,2,0,-2,0,0.0,0
BradTo00,38,200110280den,25,65.78947368421053,0,0,0.0,0.0,0.10526315789473684,0.16,4,30,0,0.05263157894736842,0.08,2,203,5.342105263157895,8.12,57.1,2,0,-1,2,0.05263157894736842,20
BradTo00,31,200111040atl,21,67.74193548387096,0,0,0.0,0.0,0.0,0.0,0,44,1,0.0967741935483871,0.14285714285714285,3,250,8.064516129032258,11.904761904761905,124.4,3,0,0,3,0.0967741935483871,14
BradTo00,21,200111110nwe,15,71.42857142857143,0,0,0.0,0.0,0.047619047619047616,0.06666666666666667,1,26,2,0.047619047619047616,0.06666666666666667,1,107,5.095238095238095,7.133333333333334,78.9,4,0,-1,7,0.3333333333333333,36
BradTo00,27,200111180nwe,19,70.37037037037037,0,0,0.0,0.0,0.07407407407407407,0.10526315789473684,2,27,7,0.037037037037037035,0.05263157894736842,1,185,6.851851851851852,9.736842105263158,70.8,2,0,6,2,0.07407407407407407,6
BradTo00,26,200111250nwe,19,73.07692307692307,0,0,0.0,0.0,0.0,0.0,0,41,11,0.15384615384615385,0.21052631578947367,4,258,9.923076923076923,13.578947368421053,143.9,4,0,14,4,0.15384615384615385,17
BradTo00,28,200112020nyj,20,71.42857142857143,0,0,0.0,0.0,0.0,0.0,0,46,2,0.0,0.0,0,213,7.607142857142857,10.65,93.3,3,0,0,3,0.10714285714285714,22
BradTo00,28,200112090nwe,19,67.85714285714286,0,0,0.0,0.0,0.07142857142857142,0.10526315789473684,2,23,0,0.0,0.0,0,218,7.785714285714286,11.473684210526315,61.3,4,0,-3,3,0.10714285714285714,9
BradTo00,35,200112160buf,19,54.285714285714285,0,0,0.0,0.0,0.02857142857142857,0.05263157894736842,1,40,12,0.0,0.0,0,237,6.771428571428571,12.473684210526315,63.6,3,0,13,5,0.14285714285714285,31
BradTo00,19,200112220nwe,11,57.89473684210527,0,0,0.0,0.0,0.0,0.0,0,23,-1,0.05263157894736842,0.09090909090909091,1,108,5.684210526315789,9.818181818181818,91.6,3,0,-5,3,0.15789473684210525,14
BradTo00,29,200201060car,17,58.620689655172406,0,0,0.0,0.0,0.06896551724137931,0.11764705882352941,2,31,2,0.034482758620689655,0.058823529411764705,1,198,6.827586206896552,11.647058823529411,62.1,1,0,2,1,0.034482758620689655,2
BradTo00,52,200201190nwe,32,61.53846153846154,1,0,0.0,0.019230769230769232,0.019230769230769232,0.03125,1,29,6,0.0,0.0,0,312,6.0,9.75,70.4,5,1,16,2,0.038461538461538464,15
BradTo00,27,200202030nwe,16,59.25925925925925,0,0,0.0,0.0,0.0,0.0,0,23,3,0.037037037037037035,0.0625,1,145,5.37037037037037,9.0625,86.2,1,0,3,1,0.037037037037037035,7
BradTo00,43,200209090nwe,29,67.44186046511628,0,0,0.0,0.0,0.0,0.0,0,40,0,0.06976744186046512,0.10344827586206896,3,294,6.837209302325581,10.137931034482758,110.0,0,0,0,2,0.046511627906976744,14
BradTo00,35,200209150nyj,25,71.42857142857143,0,0,0.0,0.0,0.02857142857142857,0.04,1,49,4,0.05714285714285714,0.08,2,269,7.685714285714286,10.76,100.8,2,0,5,0,0.0,0
BradTo00,54,200209220nwe,39,72.22222222222221,0,0,0.0,0.0,0.018518518518518517,0.02564102564102564,1,38,2,0.07407407407407407,0.10256410256410256,4,410,7.592592592592593,10.512820512820513,110.9,1,0,2,4,0.07407407407407407,11
BradTo00,53,200209290sdg,36,67.9245283018868,0,0,0.0,0.0,0.03773584905660377,0.05555555555555555,2,26,3,0.03773584905660377,0.05555555555555555,2,353,6.660377358490566,9.805555555555555,83.3,1,0,3,0,0.0,0
BradTo00,31,200210060mia,17,54.83870967741935,0,0,0.0,0.0,0.06451612903225806,0.11764705882352941,2,34,0,0.06451612903225806,0.11764705882352941,2,240,7.741935483870968,14.117647058823529,74.7,1,0,0,3,0.0967741935483871,32
BradTo00,44,200210130nwe,24,54.54545454545454,0,0,0.0,0.0,0.06818181818181818,0.125,3,18,12,0.022727272727272728,0.041666666666666664,1,183,4.159090909090909,7.625,44.0,5,0,26,2,0.045454545454545456,17
BradTo00,29,200210270nwe,15,51.724137931034484,0,0,0.0,0.0,0.0,0.0,0,17,4,0.034482758620689655,0.06666666666666667,1,130,4.482758620689655,8.666666666666666,75.4,2,0,5,5,0.1724137931034483,20
BradTo00,26,200211030buf,22,84.61538461538461,0,0,0.0,0.0,0.0,0.0,0,31,-1,0.11538461538461539,0.13636363636363635,3,265,10.192307692307692,12.045454545454545,147.6,1,0,-1,1,0.038461538461538464,2
