Player ID,attempted_passes,boxscore_index,completed_passes,completion_percentage,fumbles,fumbles_lost,fumbles_lost_per_attempt,fumbles_per_attempt,interceptions_per_attempt,interceptions_per_completion,interceptions_thrown,longest_pass,longest_rush,passing_TDs_per_attempt,passing_TDs_per_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,passing_yards_per_completion,quarterback_rating,rush_attempts,rush_touchdowns,rush_yards,times_sacked,times_sacked_per_attempt,yards_lost_from_sacks
BledDr00,38,200109090cin,22,57.89473684,0,0,0,0,0,0,0,32,8,0.052631579,0.090909091,2,241,6.342105263,10.95454545,94.3,3,0,10,4,0.105263158,17
BledDr00,28,200109230nwe,18,64.28571429,0,0,0,0,0.071428571,0.111111111,2,58,8,0,0,0,159,5.678571429,8.833333333,49.6,2,0,8,1,0.035714286,4
BledDr00,21,200201270pit,10,47.61904762,0,0,0,0,0,0,0,18,4,0.047619048,0.1,1,102,4.857142857,10.2,77.9,4,0,1,2,0.095238095,11
CassMa00,20,200601010nwe,11,55,0,0,0,0,0,0,0,36,9,0.1,0.181818182,2,168,8.4,15.27272727,116.2,5,0,13,1,0.05,1
CassMa00,18,200809070nwe,13,72.22222222,0,0,0,0,0,0,0,51,9,0.055555556,0.076923077,1,152,8.444444444,11.69230769,116,4,0,13,2,0.111111111,16
CassMa00,23,200809140nyj,16,69.56521739,0,0,0,0,0,0,0,26,7,0,0,0,165,7.173913043,10.3125,89.9,1,0,7,4,0.173913043,9
CassMa00,31,200809210nwe,19,61.29032258,1,1,0.032258065,0.032258065,0.032258065,0.052631579,1,21,2,0.032258065,0.052631579,1,131,4.225806452,6.894736842,68.1,2,0,4,4,0.129032258,17
CassMa00,32,200810050sfo,22,68.75,1,0,0,0.03125,0.0625,0.090909091,2,66,6,0.03125,0.045454545,1,259,8.09375,11.77272727,77.5,4,0,5,5,0.15625,26
CassMa00,38,200810120sdg,22,57.89473684,1,0,0,0.026315789,0.026315789,0.045454545,1,28,9,0,0,0,203,5.342105263,9.227272727,61.6,7,0,29,4,0.105263158,10
CassMa00,24,200810200nwe,18,75,0,0,0,0,0,0,0,29,4,0.125,0.166666667,3,185,7.708333333,10.27777778,136.3,4,0,1,6,0.25,38
CassMa00,33,200810260nwe,21,63.63636364,0,0,0,0,0.060606061,0.095238095,2,30,11,0.03030303,0.047619048,1,267,8.090909091,12.71428571,73.7,7,0,22,3,0.090909091,17
CassMa00,34,200811020clt,25,73.52941176,0,0,0,0,0.029411765,0.04,1,20,7,0,0,0,204,6,8.16,76.1,5,0,20,0,0,0
CassMa00,32,200811090nwe,22,68.75,1,1,0.03125,0.03125,0,0,0,27,13,0,0,0,234,7.3125,10.63636364,89.8,9,1,22,1,0.03125,8
CassMa00,51,200811130nwe,30,58.82352941,1,0,0,0.019607843,0,0,0,43,19,0.058823529,0.1,3,400,7.843137255,13.33333333,103.4,8,0,62,3,0.058823529,14
CassMa00,43,200811230mia,30,69.76744186,0,0,0,0,0.023255814,0.033333333,1,64,8,0.069767442,0.1,3,415,9.651162791,13.83333333,114,2,1,14,2,0.046511628,7
CassMa00,39,200811300nwe,19,48.71794872,2,2,0.051282051,0.051282051,0.051282051,0.105263158,2,27,1,0,0,0,169,4.333333333,8.894736842,39.4,2,0,1,5,0.128205128,24
CassMa00,44,200812070sea,26,59.09090909,0,0,0,0,0,0,0,33,9,0.022727273,0.038461538,1,268,6.090909091,10.30769231,84.3,7,0,14,3,0.068181818,8
CassMa00,30,200812140rai,18,60,0,0,0,0,0.033333333,0.055555556,1,30,10,0.133333333,0.222222222,4,218,7.266666667,12.11111111,108.1,6,0,18,3,0.1,8
CassMa00,36,200812210nwe,20,55.55555556,0,0,0,0,0,0,0,76,16,0.083333333,0.15,3,345,9.583333333,17.25,116.1,2,0,19,1,0.027777778,12
CassMa00,8,200812280buf,6,75,0,0,0,0,0,0,0,19,7,0,0,0,78,9.75,13,105.2,3,0,19,1,0.125,5
GaroJi00,17,201412280nwe,10,58.82352941,0,0,0,0,0,0,0,20,9,0,0,0,90,5.294117647,9,73.2,4,0,16,3,0.176470588,19
GaroJi00,33,201609110crd,24,72.72727273,2,1,0.03030303,0.060606061,0,0,0,37,10,0.03030303,0.041666667,1,264,8,11,106.1,4,0,12,2,0.060606061,7
GaroJi00,26,201609180nwe,18,69.23076923,0,0,0,0,0,0,0,26,0,0.115384615,0.166666667,3,232,8.923076923,12.88888889,135.4,0,0,0,0,0,0
BrisJa00,19,201609220nwe,11,57.89473684,0,0,0,0,0,0,0,27,27,0,0,0,103,5.421052632,9.363636364,72.9,8,1,48,1,0.052631579,6
BrisJa00,27,201610020nwe,17,62.96296296,2,1,0.037037037,0.074074074,0,0,0,58,10,0,0,0,205,7.592592593,12.05882353,86.2,4,0,23,3,0.111111111,18
